message_id,channel,message
1,email,Love the quality of the coffee press! Best purchase this month.
2,in-app,The t-shirt fits perfectly and the material is so soft.
3,whatsapp,Fast shipping and great product. Very satisfied!
4,chat,The earbuds sound amazing. Worth every penny.
5,email,Excellent customer service. They answered all my questions quickly.
6,in-app,The cook set is exactly what I needed for my kitchen.
7,whatsapp,Great value for money. Highly recommend!
8,chat,The foldable table is sturdy and looks great.
9,email,My kids love their new sneakers. Thank you!
10,in-app,The blender works perfectly. Makes smoothies in seconds.
11,whatsapp,Beautiful packaging and fast delivery.
12,chat,The coffee press makes the best coffee I've ever had at home.
13,email,Very happy with my purchase. Will buy again!
14,in-app,The t-shirt quality exceeded my expectations.
15,whatsapp,Great products at reasonable prices.
16,chat,The earbuds are comfortable and have great battery life.
17,email,Impressed with the build quality of the cook set.
18,in-app,The table is perfect for my small apartment.
19,whatsapp,My son is so happy with his sneakers!
20,chat,Everything arrived in perfect condition. Thank you!
